,Gene,Tissue,Condition,Average_Spearman,Degree,WeightedDegree
6083,FBgn0028888,head,ctrl,0.19607367894873245,2631,0.19607367894873245
6084,FBgn0033235,head,ctrl,0.17349107599683944,2134,0.17349107599683944
6085,FBgn0041707,head,ctrl,0.17769395632770746,1628,0.17769395632770746
6086,FBgn0259974,head,ctrl,0.15829961460366512,733,0.15829961460366512
6087,FBgn0023531,head,ctrl,0.1619840835481347,932,0.1619840835481347
6088,FBgn0014135,head,ctrl,0.15677723451373443,831,0.15677723451373443
6089,FBgn0036133,head,ctrl,0.13093550727468417,133,0.13093550727468417
6090,FBgn0034644,head,ctrl,0.22015036003955754,3236,0.22015036003955754
6091,FBgn0034345,head,ctrl,0.1626217915464432,1444,0.1626217915464432
6092,FBgn0015218,head,ctrl,0.1616873118444634,1318,0.1616873118444634
6093,FBgn0029131,head,ctrl,0.13534579072171127,325,0.13534579072171127
6094,FBgn0033983,head,ctrl,0.14869262081421186,880,0.14869262081421186
6095,FBgn0037255,head,ctrl,0.14551027545972486,573,0.14551027545972486
6096,FBgn0266570,head,ctrl,0.1385504942612068,595,0.1385504942612068
6097,FBgn0037368,head,ctrl,0.1332296554762253,102,0.1332296554762253
6098,FBgn0051044,head,ctrl,0.13211728237956596,98,0.13211728237956596
6099,FBgn0035873,head,ctrl,0.13378832512431332,202,0.13378832512431332
6100,FBgn0086904,head,ctrl,0.27425726543096723,4257,0.27425726543096723
6101,FBgn0010194,head,ctrl,0.1273579258093121,28,0.1273579258093121
6102,FBgn0003742,head,ctrl,0.14148521985889176,544,0.14148521985889176
6103,FBgn0010114,head,ctrl,0.235802503531153,3453,0.235802503531153
6104,FBgn0027515,head,ctrl,0.16731391492097394,1314,0.16731391492097394
6105,FBgn0262169,head,ctrl,0.1385493840761055,122,0.1385493840761055
6106,FBgn0031684,head,ctrl,0.18168726374259572,2179,0.18168726374259572
6107,FBgn0027057,head,ctrl,0.1403461770465571,646,0.1403461770465571
6108,FBgn0038984,head,ctrl,0.22050345384183537,2225,0.22050345384183537
6109,FBgn0259938,head,ctrl,0.17335218198994334,2070,0.17335218198994334
6110,FBgn0032484,head,ctrl,0.1830246474351477,2132,0.1830246474351477
6111,FBgn0004852,head,ctrl,0.17086588971060848,2187,0.17086588971060848
6112,FBgn0005427,head,ctrl,0.1767022512256009,1982,0.1767022512256009
6113,FBgn0051481,head,ctrl,0.14363807553486768,515,0.14363807553486768
6114,FBgn0053116,head,ctrl,0.1358846285160744,280,0.1358846285160744
6115,FBgn0032897,head,ctrl,0.17680601816298408,1293,0.17680601816298408
6116,FBgn0037998,head,ctrl,0.14019405848341784,426,0.14019405848341784
6117,FBgn0014023,head,ctrl,0.16942337223387285,1832,0.16942337223387285
6118,FBgn0266521,head,ctrl,0.23860570310673884,3647,0.23860570310673884
6119,FBgn0026263,head,ctrl,0.13445864161343712,59,0.13445864161343712
6120,FBgn0010434,head,ctrl,0.20140734685245085,2933,0.20140734685245085
6121,FBgn0086901,head,ctrl,0.19443389596860366,2755,0.19443389596860366
6122,FBgn0035762,head,ctrl,0.1260931223708617,20,0.1260931223708617
6123,FBgn0039690,head,ctrl,0.19379246691257757,1778,0.19379246691257757
6124,FBgn0000163,head,ctrl,0.19023205746688554,2610,0.19023205746688554
6125,FBgn0038540,head,ctrl,0.14178803950527355,616,0.14178803950527355
6126,FBgn0005775,head,ctrl,0.2117809466769075,2590,0.2117809466769075
6127,FBgn0015801,head,ctrl,0.15319381225800338,694,0.15319381225800338
6128,FBgn0031942,head,ctrl,0.15572774132676973,901,0.15572774132676973
6129,FBgn0086856,head,ctrl,0.15060434881775642,1066,0.15060434881775642
6130,FBgn0023545,head,ctrl,0.15594589357987668,1130,0.15594589357987668
6131,FBgn0031089,head,ctrl,0.1995188197438578,1947,0.1995188197438578
6132,FBgn0047095,head,ctrl,0.13542695693289514,188,0.13542695693289514
6133,FBgn0036992,head,ctrl,0.1968653495221888,2700,0.1968653495221888
6134,FBgn0034137,head,ctrl,0.17651369729335284,1753,0.17651369729335284
6135,FBgn0004419,head,ctrl,0.16823221073029843,1991,0.16823221073029843
6136,FBgn0042138,head,ctrl,0.17495455477145866,1648,0.17495455477145866
6137,FBgn0022338,head,ctrl,0.15595588446996525,1384,0.15595588446996525
6138,FBgn0031110,head,ctrl,0.20530310914626096,1134,0.20530310914626096
6139,FBgn0019960,head,ctrl,0.20701495300630246,3045,0.20701495300630246
6140,FBgn0029860,head,ctrl,0.158029129763453,1267,0.158029129763453
6141,FBgn0000810,head,ctrl,0.13834800240872613,249,0.13834800240872613
6142,FBgn0026083,head,ctrl,0.15966608558145973,1256,0.15966608558145973
6143,FBgn0261850,head,ctrl,0.1355498538577794,227,0.1355498538577794
6144,FBgn0030828,head,ctrl,0.1472481462346774,694,0.1472481462346774
6145,FBgn0037439,head,ctrl,0.14432156636982926,797,0.14432156636982926
6146,FBgn0026751,head,ctrl,0.14170652756866026,566,0.14170652756866026
6147,FBgn0033347,head,ctrl,0.14250763380273346,431,0.14250763380273346
6148,FBgn0284436,head,ctrl,0.1398150635732652,109,0.1398150635732652
6149,FBgn0031359,head,ctrl,0.18021866029104278,2145,0.18021866029104278
6150,FBgn0031663,head,ctrl,0.15232578316890133,1246,0.15232578316890133
6151,FBgn0037936,head,ctrl,0.15311276785292813,238,0.15311276785292813
6152,FBgn0028476,head,ctrl,0.19281964735145699,2778,0.19281964735145699
6153,FBgn0032420,head,ctrl,0.1411530635678173,298,0.1411530635678173
6154,FBgn0019940,head,ctrl,0.1885080408113011,2372,0.1885080408113011
6155,FBgn0033925,head,ctrl,0.1430296725475493,710,0.1430296725475493
6156,FBgn0032881,head,ctrl,0.16283934528108096,1687,0.16283934528108096
6157,FBgn0038321,head,ctrl,0.14860468396324533,770,0.14860468396324533
6158,FBgn0267033,head,ctrl,0.2664839884100099,3875,0.2664839884100099
6159,FBgn0030946,head,ctrl,0.14613339831712568,674,0.14613339831712568
