Gene	Tissue	Condition	V(G)	V(e)	Vp	h2
FBgn0003514	head	ctrl	0	0.119992	0.119992	1e-06
FBgn0029839	head	ctrl	0.050772	0.328624	0.379396	0.133823
FBgn0029838	head	ctrl	1e-06	0.914722	0.914723	1e-06
FBgn0029837	head	ctrl	0.080099	1.292327	1.372426	0.058363
FBgn0003302	head	ctrl	1e-06	1.001724	1.001725	1e-06
FBgn0029003	head	ctrl	0.080328	1.027152	1.10748	0.072532
FBgn0027546	head	ctrl	0.005928	1.03632	1.042248	0.005688
FBgn0029851	head	ctrl	0.161388	1.991132	2.15252	0.074976
FBgn0015818	head	ctrl	1e-06	0.835739	0.83574	1e-06
FBgn0028982	head	ctrl	0.027169	0.460804	0.487973	0.055678
FBgn0029861	head	ctrl	0.039683	0.962744	1.002427	0.039587
FBgn0029863	head	ctrl	0.06697	0.624545	0.691515	0.096845
FBgn0029864	head	ctrl	1e-06	1.11204	1.112041	1e-06
FBgn0029866	head	ctrl	0.002933	0.368063	0.370995	0.007905
FBgn0029873	head	ctrl	1e-06	1.021791	1.021792	1e-06
FBgn0014031	head	ctrl	0.126579	0.339035	0.465614	0.271853
FBgn0000524	head	ctrl	0.01237	0.830262	0.842632	0.014681
FBgn0014026	head	ctrl	0.045049	0.201292	0.246341	0.182871
FBgn0003139	head	ctrl	0.045796	0.36154	0.407335	0.112428
FBgn0029868	head	ctrl	0.049629	0.090873	0.140502	0.353227
FBgn0043796	head	ctrl	1e-06	0.889116	0.889117	1e-06
FBgn0028685	head	ctrl	2e-06	1.46868	1.468681	1e-06
FBgn0031275	head	ctrl	0.005539	0.904876	0.910416	0.006084
FBgn0015621	head	ctrl	0.054601	1.254081	1.308682	0.041722
