tissue,Geneid,logFC,AveExpr,t,P.Value,adj.P.Val,B,HSvsC,SYMBOL
body,FBgn0015331,-0.003689290961137015,3.088541439701725,-0.020851133475368922,0.9833671473807833,0.9889313903006623,-6.772597479807587,-0,abs
body,FBgn0043070,0.09594133281477735,5.4486914924136745,1.0792196545682637,0.2806612113571968,0.3587924039434149,-6.7728238702252614,0,MESK2
body,FBgn0035337,0.10124972821093703,4.7923577533979564,0.9355347987131056,0.3496615096051726,0.4304331874136307,-6.772869656876112,0,CG15877
body,FBgn0011584,-0.0858878825867917,5.719164421209445,-1.1391899737463484,0.25480360151292436,0.3306212477405269,-6.7729782961663645,-0,Trp1
body,FBgn0028550,-0.08147372643921402,3.849134723157006,-0.5516144074995151,0.5812937255297036,0.6544405990555267,-6.77303482009211,-0,Atf3
body,FBgn0082831,0.05202955298366918,3.2944152210136552,0.3497022873165208,0.7266106297365422,0.7854136604559303,-6.773637091679434,0,pps
body,FBgn0039650,-0.03960848773170511,3.142389720207953,-0.21577785344954312,0.8291898916032019,0.8673611312351422,-6.774408288413453,-0,Mesh1
body,FBgn0039600,0.08941985474365222,4.883261909351143,0.9530954552846892,0.3406933954886784,0.42120695031651606,-6.774833761158546,0,Prp39
body,FBgn0036570,0.0028560217919224584,2.9003058669186075,0.01620706445845407,0.9870713286698163,0.9911974368125382,-6.775305090293997,0,IntS9
body,FBgn0025574,0.08724248680245061,5.380831265752202,1.0697480231492793,0.2849027552321565,0.3633670516692516,-6.776305680044208,0,Pli
body,FBgn0052350,0.08462760110499934,4.172256345613228,0.6910615974433032,0.48963245945354894,0.5685719677496978,-6.778229890358527,0,Vps11
body,FBgn0029798,0.036181350206728524,3.3340899737566043,0.23323722836528135,0.8156086343965185,0.8567799328740425,-6.778377445539476,0,Rtel1
body,FBgn0001226,0.13691377881744948,5.778691482222724,1.150491547191094,0.25012261574563754,0.3254464426480634,-6.779356784536626,0,Hsp27
body,FBgn0260962,0.09043691580767188,5.962417173314649,1.2029718095361877,0.22917475631005538,0.30213576533579073,-6.780306341606597,0,pic
body,FBgn0283525,0.03536500631917239,3.314432667608434,0.22519977902973132,0.821854163333949,0.8616889314547272,-6.7803751470982965,0,l(2)10685
body,FBgn0034964,-0.08665911398434467,4.33765943828471,-0.7525891822692603,0.451813468547845,0.5324597435789657,-6.780435211100057,-0,IntS1
body,FBgn0039877,0.09174628578350408,5.006738279200462,0.9703386295036972,0.33203225894027744,0.4121261107571281,-6.782944881849305,0,Mccc1
body,FBgn0036096,0.08829739480828191,5.465226646278468,1.0650593510467978,0.28701839408650814,0.3654230836360917,-6.783248951579922,0,CG8003
body,FBgn0002526,-0.08833711561863122,3.8653488225108728,-0.5462626754491213,0.5849656371633732,0.6577862568376098,-6.783273729788214,-0,LanA
body,FBgn0039970,-0.07275802241932183,7.1033452021744,-1.377748211611995,0.16848404577975015,0.2331056353981984,-6.783360629594675,-0,CG17508
body,FBgn0038871,-0.07777363107248902,3.9488665711660795,-0.5637140482847909,0.5730319922280269,0.6473558462277109,-6.7842799216877125,-0,CG3337
body,FBgn0037207,0.09684115894841572,4.479159773821717,0.8218617461915478,0.4112846091383421,0.49165744222754726,-6.784517618620576,0,Mes2
body,FBgn0261933,-0.08186122077672042,6.816261974730339,-1.3427849707291237,0.17954229107948194,0.2458704927402485,-6.7845488286998865,-0,SmD1
body,FBgn0032690,0.0820232034962336,3.8236331423865617,0.5837135321109628,0.5594997519315402,0.6346852455928598,-6.784803482782164,0,CG10333
body,FBgn0027101,0.08934362796636819,4.538785447874959,0.8118420534608278,0.41700950957117333,0.497506265410021,-6.785313769998268,0,Dyrk3
body,FBgn0029898,0.07263373761874536,4.508930252649226,0.7170720814352234,0.4734399024558059,0.5536796725145615,-6.785779959459634,0,CG14439
body,FBgn0033934,0.07152189242783269,6.782702964754564,1.325411938859424,0.1852339344008044,0.2521427842958778,-6.785905668842553,0,CG17385
